Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
7917;2023.10.26 17:43:25;0;0;20;0;0;0;20;5;20
7916;2023.10.26 17:42:20;0;0;20;0;0;0;20;5;20
7915;2023.10.26 17:41:18;0;0;20;0;0;0;20;5;20
7914;2023.10.26 15:14:52;0;20;0;0;0;0;20;5;20
7913;2023.10.26 13:48:52;0;20;0;0;0;0;20;4,8;19,59
7912;2023.10.26 13:44:50;0;20;0;0;0;0;20;4,8;19,34
7911;2023.10.26 10:33:07;0;20;0;0;0;0;20;4,9;19,84
7910;2023.10.26 09:37:46;0;12;0;0;0;0;12;3;12
7909;2023.10.26 09:36:47;0;12;0;0;0;0;12;3;12
7908;2023.10.26 08:53:35;0;0;40;0;0;0;40;10;40
7907;2023.10.26 08:33:32;0;40;0;0;0;0;40;9,9;39,99
7906;2023.10.26 06:48:44;0;0;20;0;0;0;20;5;20
7905;2023.10.25 19:38:27;100;0;0;0;0;60;40;9,8;39,23
7904;2023.10.25 18:48:12;50;0;0;0;0;9;41;10;40,12
7903;2023.10.25 18:25:30;0;20;0;0;0;0;20;5;20
7902;2023.10.25 17:59:53;100;0;0;0;0;79;21;5;20,22
7901;2023.10.25 17:57:52;100;0;0;0;0;21;79;19,6;78,62
7900;2023.10.25 16:54:34;50;0;0;0;0;10;40;9,9;39,67
7899;2023.10.25 16:32:47;0;20;0;0;0;0;20;5;20
7898;2023.10.25 15:17:03;0;20;0;0;0;0;20;5;20
7897;2023.10.25 14:41:39;0;18;0;0;0;0;18;4,4;18
7896;2023.10.25 14:40:46;0;19;0;0;0;0;19;4,7;19
7895;2023.10.25 12:58:44;100;0;0;0;0;60;40;9,9;39,8
7894;2023.10.25 12:55:38;100;0;0;0;0;30;70;17,3;69,52
7893;2023.10.25 12:22:33;0;20;0;0;0;0;20;5;20
7892;2023.10.25 12:21:51;100;0;0;0;0;80;20;4,8;19,51
7891;2023.10.25 11:19:09;0;20;0;0;0;0;20;5;20
7890;2023.10.25 10:30:13;0;19;0;0;0;0;19;4,7;19
7889;2023.10.24 23:27:08;0;0;20;0;0;0;20;5;20
7888;2023.10.24 23:26:08;0;0;40;0;0;0;40;10;40
7887;2023.10.24 20:52:03;0;20;0;0;0;0;20;5;20
7886;2023.10.24 20:50:48;0;20;0;0;0;0;20;5;20
7885;2023.10.24 20:49:25;0;0;20;0;0;0;20;5;20
7884;2023.10.24 20:47:42;0;0;20;0;0;0;20;5;20
7883;2023.10.24 19:52:57;0;0;20;0;0;0;20;5;20
7882;2023.10.24 17:41:45;0;20;0;0;0;0;20;4,8;19,29
7881;2023.10.24 16:52:11;0;19;0;0;0;0;19;4,7;19
7880;2023.10.24 16:50:59;0;19;0;0;0;0;19;4,7;19
7879;2023.10.24 16:45:46;0;20;0;0;0;0;20;5;20
7878;2023.10.24 16:44:28;0;20;0;0;0;0;20;5;20
7877;2023.10.24 16:03:06;0;12;0;0;0;0;12;3;12
7876;2023.10.24 13:09:37;0;20;0;0;0;0;20;5;20
7875;2023.10.24 13:01:51;0;20;0;0;0;0;20;5;20
7874;2023.10.24 12:00:46;0;20;0;0;0;0;20;4,9;19,69
7873;2023.10.24 11:27:40;0;19;0;0;0;0;19;4,7;19
7872;2023.10.24 11:01:00;0;0;20;0;0;0;20;5;20
7871;2023.10.24 10:10:50;0;20;0;0;0;0;20;5;20
7870;2023.10.24 05:14:06;0;0;20;0;0;0;20;5;20
7869;2023.10.24 05:13:03;0;0;20;0;0;0;20;5;20
7868;2023.10.23 21:39:49;0;0;20;0;0;0;20;5;20
7867;2023.10.23 21:08:02;0;0;40;0;0;0;40;9,9;39,75
7866;2023.10.23 20:09:50;0;20;0;0;0;0;20;5;20
7865;2023.10.23 18:30:47;100;0;0;0;0;60;40;9,8;39,56
7864;2023.10.23 16:59:54;0;22;0;0;0;0;22;5,4;22
7863;2023.10.23 16:49:26;0;0;40;0;0;0;40;10;40
7862;2023.10.23 16:42:47;0;12;0;0;0;0;12;3;12
7861;2023.10.23 16:41:50;0;12;0;0;0;0;12;3;12
7860;2023.10.23 16:32:55;0;20;0;0;0;0;20;5;20
7859;2023.10.23 15:09:27;0;0;20;0;0;0;20;4,8;19,4
7858;2023.10.23 13:09:45;100;0;0;0;0;22;78;19,3;77,47
7857;2023.10.23 11:52:49;0;20;0;0;0;0;20;5;20
7856;2023.10.23 10:15:25;0;20;0;0;0;0;20;5;20
7855;2023.10.23 10:05:58;0;20;0;0;0;0;20;5;20
7854;2023.10.23 10:05:27;0;20;0;0;0;0;20;5;20
7853;2023.10.22 23:57:49;0;0;20;0;0;0;20;5;20
7852;2023.10.22 21:44:29;0;0;20;0;0;0;20;5;20
7851;2023.10.22 21:43:27;0;0;40;0;0;0;40;10;40
7850;2023.10.22 21:30:43;0;155;0;0;0;78;77;19,1;76,42
7849;2023.10.22 20:32:11;0;20;0;0;0;0;20;4,8;19,29
7848;2023.10.22 20:17:38;0;0;20;0;0;0;20;5;20
7847;2023.10.22 20:15:17;0;0;20;0;0;0;20;5;20
